KTOKD,KUNNR,BUKRS,VKORG,VTWEG,SPART,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,SPRAS
1,477,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZ, Z.Z.",,ZZZZZZ,35412,35,ZZZZZZ ZZZ,EN
1,478,G100,G100,20,10,ZZ,"ZZZZ ZZZZZZZ ZZZZZZZ, Z.Z.",,ZZZZZZZZ-ZZZZZZZZZZZZZ,35627,35,ZZZZ ZZZZZ,EN
1,479,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZZZZZ ZZZZZZZZZZZ,,ZZZZZZZZ-ZZZZZZZZZ,35500,35,ZZZZZZZ ZZ,EN
1,487,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZZZZZZ, Z.Z.",,ZZZ ZZZZZZZZZ ZZZZZZZZ,35100,35,ZZZZZZZZZ ,EN
1,489,G100,G100,20,10,ZZ,ZZZZZZ ZZZZ.ZZZZZZZZ Z.Z.Z.,,ZZZZ,36070,36,ZZZZZZ ZZZ,EN
1,498,G100,G100,20,10,ZZ,Z.Z.ZZZZZZZZZ-ZZZZ.ZZZ,,ZZZ ZZZZZZZZ,41700,41,Z.Z.ZZZZZZ,EN
1,500,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZ ZZZZZZZ ZZZZ,Z.Z.",,ZZZZ,36202,36,ZZZZZZZZZ ,EN
1,506,G100,G100,20,10,ZZ,Z.Z.ZZZZZZZZZ-ZZZZ.ZZZZZZZ,,ZZZZ ZZZZ ZZ ZZZZZ,46190,46,Z.Z.ZZZZZZ,EN
1,517,G100,G100,20,10,ZZ,Z.Z.ZZZZZZZZZ-ZZZZ.ZZZZZZZ,,ZZZZZZZZZZZZZ,8755,8,Z.Z.ZZZZZZ,EN
1,518,G100,G100,20,10,ZZ,"ZZZZZZ.ZZZZZZZZZZ ZZZZZZ,Z.Z.",,ZZZZZ,33208,33,ZZZZZZ.ZZZ,EN
1,525,G100,G100,20,10,ZZ,"ZZZZZZ, Z.Z.",,ZZZZZZZZZ,8004,8,"ZZZZZZ, Z.",EN
1,531,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZZZZZZZ, Z.Z. ZZZZZZZ",,ZZZZZZZZ ZZ ZZZZZZZZZ,8940,8,ZZZZZZ ZZZ,EN
1,536,G100,G100,20,10,ZZ,"ZZZZZZ, Z.Z.",,ZZZZZZZZZZZ ZZ ZZZZZ,36600,36,"ZZZZZZ, Z.",EN
1,545,G100,G100,20,10,ZZ,"Z.Z.ZZZZZZZZZ,Z.Z.(ZZZZZZZZ)",,ZZZZZ ZZZZZ ZZZ ZZZ,38109,38,Z.Z.ZZZZZZ,EN
1,549,G100,G100,20,10,ZZ,"ZZZ, Z.Z.",,ZZZZZZZZ ZZ ZZZZZZZZZ,8940,8,"ZZZ, Z.Z.",EN
1,553,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZZZZZZZZZZ, Z.Z. ZZZZZZZ",,ZZZZZZZZZ,43005,43,ZZZZZZ ZZZ,EN
1,565,G100,G100,20,10,ZZ,"ZZZZZZ ZZZZ, ZZZZZ",,ZZZZZZZZ,3012,3,ZZZZZZ ZZZ,EN
1,566,G100,G100,20,10,ZZ,"ZZZZZZZZZ ZZ ZZZZZZZ, Z.Z.",,ZZZZZZZZZ,37008,37,ZZZZZZZZZ ,EN
1,568,G100,G100,20,10,ZZ,"ZZZZ-ZZZZ, Z.Z.",,ZZZZ ZZZZZ ZZ ZZZZZZZZZ,8980,8,"ZZZZ-ZZZZ,",EN
1,574,G100,G100,20,10,ZZ,"ZZZZZZZZZZZZ ZZZZZZZZZZZZZ,Z.Z",,ZZZZZZ,20400,20,ZZZZZZZZZZ,EN
1,577,G100,G100,20,10,ZZ,ZZZZZZZ ZZ ZZZZZZ,,ZZ ZZZZZZ,15407,15,ZZZZZZZ ZZ,EN
1,578,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZZZZZ ZZ ZZZZZZZZZZ,,ZZZZZZZZ ZZ ZZZZZZZZZZ,15703,15,ZZZZZZZ ZZ,EN
1,580,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZ ZZZ ZZ ZZZZZZZZZ,,ZZZZ ZZZ ZZ ZZZZZZZZZ,8830,8,ZZZZZZZ ZZ,EN
1,581,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZZZ ZZ ZZZZZZZ,,ZZZZZZ ZZ ZZZZZZZ,28805,28,ZZZZZZZ ZZ,EN
1,582,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZZ,,ZZZZZ,33211,33,ZZZZZZZ ZZ,EN
1,583,G100,G100,20,10,ZZ,ZZZZZZZ ZZZZZZZZ,,ZZZZZZZZ,46120,46,ZZZZZZZ ZZ,EN
